Timestamp,Summoner Name,top,jungle,middle,bottom,support,Best MMR,Team Number,Team MMR,Assigned Role
11/6/2019 14:59,player5,4,1,4,4,4,1730,0,1948,middle
11/15/2019 14:59,player19,5,3,5,3,5,2563,0,1948,support
11/7/2019 14:59,player11,2,3,1,2,1,1834,0,1948,jungle
11/10/2019 14:59,player14,2,3,4,5,2,1862,0,1948,bottom
11/11/2019 14:59,player15,5,2,1,1,5,1752,0,1948,top
11/6/2019 23:06,player1,1,1,4,1,5,1816,1,1948,support
11/6/2019 12:03,player3,1,1,5,1,1,1733,1,1948,middle
11/14/2019 14:59,player18,5,2,3,2,4,2294,1,1948,bottom
11/8/2019 14:59,player12,5,3,5,2,2,2280,1,1948,top
11/12/2019 14:59,player16,2,3,1,1,4,1619,1,1948,jungle
11/6/2019 11:40,player2,3,5,3,3,4,1893,2,1949,jungle
11/6/2019 12:47,player4,5,1,1,1,3,1974,2,1949,top
11/6/2019 12:03,player8,2,2,2,5,2,1798,2,1949,bottom
11/6/2019 12:47,player9,2,5,1,3,5,2368,2,1949,support
11/9/2019 14:59,player13,1,4,4,1,1,1715,2,1949,middle
11/13/2019 14:59,player17,3,1,5,4,5,1950,3,1949,support
11/6/2019 14:59,player10,2,2,5,2,3,1932,3,1949,middle
11/6/2019 23:06,player6,4,1,4,4,4,1969,3,1949,bottom
11/6/2019 11:40,player7,1,3,2,5,2,2181,3,1949,jungle
11/16/2019 14:59,player20,5,1,5,3,4,1713,3,1949,top
