Timestamp,Summoner Name,top,jungle,middle,bottom,support
11/6/2019 23:06,player1,1,1,4,1,5
11/6/2019 11:40,player2,3,5,3,3,4
11/6/2019 12:03,player3,1,1,5,1,1
11/6/2019 12:47,player4,5,1,1,1,3
11/6/2019 14:59,player5,4,1,4,4,4
11/6/2019 23:06,player6,4,1,4,4,4
11/6/2019 11:40,player7,1,3,2,5,2
11/6/2019 12:03,player8,2,2,2,5,2
11/6/2019 12:47,player9,2,5,1,3,5
11/6/2019 14:59,player10,2,2,5,2,3
11/7/2019 14:59,player11,2,3,1,2,1
11/8/2019 14:59,player12,5,3,5,2,2
11/9/2019 14:59,player13,1,4,4,1,1
11/10/2019 14:59,player14,2,3,4,5,2
11/11/2019 14:59,player15,5,2,1,1,5
11/12/2019 14:59,player16,2,3,1,1,4
11/13/2019 14:59,player17,3,1,5,4,5
11/14/2019 14:59,player18,5,2,3,2,4
11/15/2019 14:59,player19,5,3,5,3,5
11/16/2019 14:59,player20,5,1,5,3,4
